Price,Beds,Baths,Sq ft,Street,City,Zip
1450.0,2,3,1208.0,4861 FARBER ROW # F,COLUMBUS,43221
2000.0,3,2,1380.0,2876 CRANSTON DR,DUBLIN,43017
2600.0,2,3,173548.0,3451 KELLS WAY,GROVE CITY,43123
1695.0,3,1,1496.0,472 E GATES ST,COLUMBUS,43206
1500.0,3,2,1180.0,463 E HINMAN AVE,COLUMBUS,43207
2095.0,3,3,1632.0,1386 HACKWORTH ST,COLUMBUS,43207
2095.0,3,2,1508.0,752 HURLOCK LN,GALLOWAY,43119
1850.0,3,2,2314.0,205 S NAPOLEON AVE,WHITEHALL,43213
1950.0,3,2,1408.0,848 HUMBOLDT DR W,COLUMBUS,43230
2150.0,2,2,1115.0,78 E CHESTNUT ST APT 305,COLUMBUS,43215
1850.0,2,3,1800.0,2833 ACARIE DR,COLUMBUS,43219
2300.0,2,3,1552.0,7832 SCIOTO CROSSING BLVD,DUBLIN,43016
1895.0,3,2,1405.0,3567 TAMI PL,COLUMBUS,43230
1510.0,3,1,1257.0,919 WILTSHIRE RD,COLUMBUS,43204
2560.0,4,3,1710.0,3175 PINE VALLEY RD,COLUMBUS,43219
1275.0,2,1,1064.0,87 REEB AVE # 87,COLUMBUS,43207
2400.0,2,3,1720.0,1021 S WALL ST,COLUMBUS,43206
1197.0,1,1,84087.0,3691 ALBANY CHASE,COLUMBUS,43230
1975.0,2,3,1616.0,5580 CRYSTAL FALLS ST # 65,DUBLIN,43016
1300.0,2,2,984.0,5636 CYPRESS CHASE,COLUMBUS,43228
1900.0,1,2,960.0,260 E 2ND AVE,COLUMBUS,43201
2250.0,3,2,1250.0,1141 SUMMIT ST,COLUMBUS,43201
950.0,2,1,6300.0,1740 PARSONS AVE,COLUMBUS,43207
1200.0,2,1,1560.0,5646 TAMARACK BLVD,COLUMBUS,43229
2300.0,4,4,1720.0,6946 GRANITE FALLS DR,BLACKLICK,43004
1950.0,3,3,1559.0,7954 HICKSON DR,BLACKLICK,43004
2000.0,3,1,1220.0,5750 WENA WAY,WESTERVILLE,43081
2800.0,4,3,2224.0,5998 RINGS RD,DUBLIN,43016
2200.0,4,3,1500.0,2758 BEULAH RD,COLUMBUS,43211
3750.0,3,3,2706.0,6993 HAWKSBEARD DR,WESTERVILLE,43082
2395.0,3,3,1940.0,5817 ADERHOLT RD,DUBLIN,43016
2900.0,4,3,2256.0,5952 SACHEM CT,DUBLIN,43017
2270.0,3,2,3777.0,39 S PARKVIEW AVE,COLUMBUS,43209
